epoch,datetime_utc,open,high,low,close
1753954576,2025-07-31 09:36:16,202260.5,203016.58,200685.49,200751.35
1753963200,2025-07-31 12:00:00,200769.23,202008.09,198909.61,200877.22
1753977600,2025-07-31 16:00:00,200875.3,206697.72,200755.52,205606.15
1753992000,2025-07-31 20:00:00,205595.24,209617.72,205537.7,207610.95
1754006400,2025-08-01 00:00:00,207595.88,210684.01,206843.87,207472.95
1754020800,2025-08-01 04:00:00,207434.62,210646.09,206551.09,209619.82
1754035200,2025-08-01 08:00:00,209625.63,211720.03,208460.12,209630.61
1754049600,2025-08-01 12:00:00,209606.36,214180.56,208654.33,213946.58
1754064000,2025-08-01 16:00:00,213930.82,215373.55,212686.04,213716.64
1754078400,2025-08-01 20:00:00,213691.01,216695.5,213392.94,216392.15
1754092800,2025-08-02 00:00:00,216416.49,216885.43,214659.31,215478.7
1754107200,2025-08-02 04:00:00,215507.66,216275.81,211217.91,213689.36
1754121600,2025-08-02 08:00:00,213701.93,216444.89,212674.9,215819.79
1754136000,2025-08-02 12:00:00,215834.35,216644.52,213566.15,216045.85
1754150400,2025-08-02 16:00:00,216058.18,216963.08,213281.56,214184.49
1754164800,2025-08-02 20:00:00,214167.33,215855.22,212832.18,215321.64
1754179200,2025-08-03 00:00:00,215319.56,219628.79,215004.05,217781.93
1754193600,2025-08-03 04:00:00,217773.5,220329.78,217593.8,218994.54
1754208000,2025-08-03 08:00:00,218979.57,221700.12,218261.34,219204.26
1754222400,2025-08-03 12:00:00,219213.06,219408.27,217359.51,217898.14
1754236800,2025-08-03 16:00:00,217913.56,219281.26,216629.38,217824.65
1754251200,2025-08-03 20:00:00,217821.04,222037.69,216998.52,221114.35
1754265600,2025-08-04 00:00:00,221131.01,222288.22,220431.15,222221.61
1754280000,2025-08-04 04:00:00,222242.9,222643.74,219317.57,221027.89
1754294400,2025-08-04 08:00:00,221016.36,221185.89,216553.6,217503.32
1754308800,2025-08-04 12:00:00,217470.71,219141.25,215190.12,215899.76
1754323200,2025-08-04 16:00:00,215852.7,216794.56,213466.91,214507.3
1754337600,2025-08-04 20:00:00,214520.85,218816.34,214363.92,216305
1754352000,2025-08-05 00:00:00,216294.96,216620.08,213596.28,215418.32
1754366400,2025-08-05 04:00:00,215430.3,216610.97,213438.45,215631.67
1754380800,2025-08-05 08:00:00,215585.79,217783.84,215141.37,216964.49
1754395200,2025-08-05 12:00:00,216939.92,218638.33,214037.77,214435.22
1754409600,2025-08-05 16:00:00,214454.91,216230.57,214028.17,214780.12
1754424000,2025-08-05 20:00:00,214799.38,217088.19,212400.52,213873.65
1754438400,2025-08-06 00:00:00,213873.15,216754.59,212898.78,215898.59
1754452800,2025-08-06 04:00:00,215885.84,219573.96,214550.1,219573.96
1754467200,2025-08-06 08:00:00,219559.95,222473.48,218736.17,222441.1
1754481600,2025-08-06 12:00:00,222417.38,225660.14,222326.92,224048
1754496000,2025-08-06 16:00:00,224034.81,226238.82,222744.37,223340.01
1754510400,2025-08-06 20:00:00,223338.44,223742.78,218970.5,219723.56
1754524800,2025-08-07 00:00:00,219721.31,220041.82,215931.96,218306.24
1754539200,2025-08-07 04:00:00,218278.02,218731.91,214932.45,215740.9
1754553600,2025-08-07 08:00:00,215717.13,216574.1,213120.33,214309.02
1754568000,2025-08-07 12:00:00,214318.05,214439.2,211237.98,212774.16
1754582400,2025-08-07 16:00:00,212785.65,215713.92,212165.67,215043.67
1754596800,2025-08-07 20:00:00,215065.87,216033.25,213489.4,215898.55
1754611200,2025-08-08 00:00:00,215879.26,216737.44,212988.02,213712.21
1754625600,2025-08-08 04:00:00,213738.77,216402.77,212486.55,215377.44
1754640000,2025-08-08 08:00:00,215356.48,217924.66,214910.68,216976.72
